Biome;LL;LMA;Nmass;Pmass;Amass;Rmass
trop_rf;;1,76;0,452;-0,678;;
trop_rf;;1,6;0,137;-0,985;;
trop_rf;;1,93;0,191;-1,12;;
trop_rf;;2,05;0,025;-1,128;;
trop_rf;;1,82;0,319;-0,658;;
temp_for;0,92;2,12;0,167;;2,08;
temp_for;0,96;2,13;0,083;;1,97;
temp_for;0,75;2,03;-0,022;;2,14;
temp_for;0,88;2,1;0,121;;2,02;
temp_for;0,93;2,04;0,185;;2,1;
temp_for;1,09;2,1;0,009;;1,74;
temp_for;0,94;2,11;0,111;;2,06;
temp_for;0,92;1,99;0,225;;2,18;
temp_for;0,84;2,08;0,004;;2,04;
temp_for;0,9;2,15;0,238;;2,09;
temp_for;0,88;2,04;0,204;;2,18;
temp_for;0,92;2,21;-0,051;;2,08;
temp_for;0,91;2,06;0,288;;2,13;
temp_for;0,94;2,06;0,143;;1,88;
temp_for;1,04;2,35;-0,06;;1,95;
temp_for;0,84;2,01;0,25;;2,1;
temp_for;1,01;2,17;0,121;;2,2;
wland;1,1;1,66;;;;
wland;1,18;1,65;;;;
wland;1,14;1,67;;;;
wland;1,05;1,66;;;;
wland;1,37;1,69;;;;
wland;1,35;1,86;;;;
wland;1,37;1,64;;;;
wland;;1,77;;;;
wland;;1,9;;;;
wland;;1,91;;;;
wland;;1,69;;;;
trop_rf;;;-0,051;-1,244;;
trop_rf;;;-0,187;-1,328;;
trop_rf;;;-0,066;-1,092;;
trop_rf;;;;-0,893;;
trop_rf;;;0,121;-1,745;;
trop_rf;;;-0,161;-1,268;;
trop_rf;0,67;;0,423;;;
trop_rf;0,59;;0,342;;;
trop_rf;;;0,344;;;
trop_rf;1,32;;0,371;;;
trop_rf;1,46;;0,111;;;
trop_rf;0,85;;0,369;;;
trop_rf;0,9;;0,369;;;
trop_rf;;;0,348;;;
trop_rf;1,07;;0,391;;;
trop_rf;0,93;;0,491;;;
trop_rf;1,28;;0,233;;;
trop_rf;1,36;;0,193;;;
trop_rf;0,84;;0,348;;;
trop_rf;1,46;;0,332;;;
trop_rf;1,68;;0,413;;;
trop_rf;1,36;;0,354;;;
trop_rf;1,1;;0,258;;;
trop_rf;0,72;;0,365;;;
trop_rf;;;0,433;;;
trop_rf;0,82;;0,386;;;
trop_rf;0,72;;0,484;;;
trop_rf;0,94;;0,45;;;
trop_rf;0,85;;0,299;;;
trop_rf;1,54;;0,068;;;
trop_rf;0,95;;0,223;;;
trop_rf;1,48;;0,491;;;
trop_rf;1,53;;0,38;;;
trop_rf;1,51;;0,314;;;
trop_rf;0,67;;0,318;;;
trop_rf;0,6;;0,47;;;
trop_rf;1,45;;0,204;;;
trop_rf;1,38;;0,433;;;
trop_rf;1,01;;0,473;;;
trop_rf;;;0,207;;;
trop_rf;0,96;;0,371;;;
trop_rf;0,67;;0,428;;;
trop_rf;0,88;;0,45;;;
trop_rf;1,32;;0,272;;;
trop_rf;1,48;;0,41;;;
trop_rf;0,93;;0,255;;;
trop_rf;1,43;;0,465;;;
trop_rf;1,04;;0,373;;;
trop_rf;0,77;;0,34;;;
trop_rf;0,59;;0,422;;;
trop_rf;0,69;;0,418;;;
trop_rf;0,81;;0,461;;;
wland;;1,76;0,372;-0,784;;
wland;;1,88;0,454;-0,752;;
wland;;1,86;0,372;-0,804;;
wland;;1,84;0,549;-0,685;;
wland;;1,97;0,362;-0,717;;
wland;;1,88;0,361;-0,908;;
wland;;1,86;0,44;-0,796;;
wland;;1,91;0,297;-0,63;;
wland;;2,04;0,32;-0,997;;
wland;;1,78;0,169;-1,015;;
wland;;1,88;0,376;-0,846;;
wland;;1,79;0,327;-0,813;;
wland;;1,83;0,39;-0,765;;
wland;;1,94;0,253;-0,896;;
wland;;1,79;0,466;-0,933;;
wland;;1,65;0,403;-0,517;;
wland;;1,81;0,285;-0,38;;
wland;;2;0,123;-0,969;;
wland;;1,95;0,152;-1,046;;
wland;;1,81;0,389;-0,719;;
wland;;1,91;0,378;-0,865;;
wland;;1,68;0,455;-0,76;;
wland;;1,89;0,41;-0,739;;
wland;;1,94;0,266;-0,689;;
wland;;1,86;0,144;-0,776;;
wland;;1,88;0,353;-0,651;;
wland;;1,9;0,483;-0,826;;
wland;;2,11;0,206;-0,891;;
wland;;1,84;0,341;-0,642;;
wland;;1,75;0,532;-0,747;;
wland;;2,04;0,353;-0,765;;
wland;;2;0,198;-0,972;;
wland;;1,85;0,354;-0,758;;
wland;;1,93;0,337;-0,846;;
wland;;2,19;0,116;-0,917;;
wland;;2,15;0,224;-0,71;;
wland;;2,08;0,208;-0,748;;
wland;;2,15;0,067;-1,016;;
wland;;1,84;0,482;-0,672;;
wland;;2;0,437;-0,796;;
wland;;2,2;0,37;-0,747;;
wland;;1,87;0,41;-0,85;;
wland;;1,88;0,458;-0,771;;
wland;;1,76;0,355;-0,816;;
wland;;1,74;0,48;-0,758;;
wland;;2,07;0,014;-0,991;;
wland;;1,82;0,266;-0,75;;
wland;;1,78;0,35;-0,738;;
